Name_gpu,Graphics Processor__Architecture,Clock Speeds__GPU Clock,Clock Speeds__Base Clock,Clock Speeds__Boost Clock,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Memory__Bandwidth,Board Design__TDP,Top__CORES,Render Config__Shading Units,Render Config__RT Cores,Theoretical Performance__FP32 (float),gpu_key
RX 7600 XT,RDNA 3.0,,1980 MHz,2755 MHz,16 GB,GDDR6,128 bit,288.0 GB/s,190 W,2048,2048.0,32.0,22.57 TFLOPS,rx7600xt
RX 7700 XT,RDNA 3.0,,1435 MHz,2544 MHz,12 GB,GDDR6,192 bit,432.0 GB/s,245 W,3456,3456.0,54.0,35.17 TFLOPS,rx7700xt
RX 7800 XT,RDNA 3.0,,1295 MHz,2430 MHz,16 GB,GDDR6,256 bit,624.1 GB/s,263 W,3840,3840.0,60.0,37.32 TFLOPS,rx7800xt
RX 7900 GRE,RDNA 3.0,,1287 MHz,2245 MHz,16 GB,GDDR6,256 bit,576.0 GB/s,260 W,5120,5120.0,80.0,45.98 TFLOPS,rx7900gre
RX 7900 XT,RDNA 3.0,,1387 MHz,2394 MHz,20 GB,GDDR6,320 bit,800.0 GB/s,300 W,5376,5376.0,84.0,51.48 TFLOPS,rx7900xt
RX 7900 XTX,RDNA 3.0,,1929 MHz,2498 MHz,24 GB,GDDR6,384 bit,960.0 GB/s,355 W,6144,6144.0,96.0,61.39 TFLOPS,rx7900xtx
RX 9060,RDNA 4.0,,1700 MHz,2990 MHz,8 GB,GDDR6,128 bit,322.3 GB/s,132 W,1792,1792.0,28.0,21.43 TFLOPS,rx9060
RX 9060 XT 16 GB,RDNA 4.0,,1700 MHz,3130 MHz,16 GB,GDDR6,128 bit,322.3 GB/s,160 W,2048,2048.0,32.0,25.64 TFLOPS,rx9060xt16gb
RX 9060 XT 8 GB,RDNA 4.0,,1700 MHz,3130 MHz,8 GB,GDDR6,128 bit,322.3 GB/s,150 W,2048,2048.0,32.0,25.64 TFLOPS,rx9060xt8gb
RX 9070,RDNA 4.0,,1330 MHz,2520 MHz,16 GB,GDDR6,256 bit,644.6 GB/s,220 W,3584,3584.0,56.0,36.13 TFLOPS,rx9070
RX 9070 XT,RDNA 4.0,,1660 MHz,2970 MHz,16 GB,GDDR6,256 bit,644.6 GB/s,304 W,4096,4096.0,64.0,48.66 TFLOPS,rx9070xt
